query_id,gold_id,query_language,search_corpus,switch_band,rr,r1,ndcg5,candidate_pool_size
track_a_fra_swa_linspr_txt_002464,track_a_fra_swa_linspr_txt_001936,fra,track_a,medium,0.125,0.0,0.0,50
track_a_fra_swa_linspr_txt_003119,track_a_fra_swa_linspr_txt_001614,fra,track_a,medium,0.14285714285714285,0.0,0.0,50
track_a_fra_swa_linspr_txt_003851,track_a_fra_swa_linspr_txt_000010,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_002956,track_a_fra_swa_linspr_txt_002956,fra,track_a,high,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_003866,track_a_fra_swa_linspr_txt_002956,fra,track_a,high,0.14285714285714285,0.0,0.0,50
track_a_fra_swa_linspr_txt_002581,track_a_fra_swa_linspr_txt_003918,fra,track_a,medium,0.25,0.0,0.43067655807339306,50
track_b_fra_lin_swaspr_txt_001171,track_a_fra_swa_linspr_txt_001171,fra,track_a,high,0.05,0.0,0.0,50
track_a_fra_swa_linspr_txt_001433,track_a_fra_swa_linspr_txt_002409,fra,track_a,medium,0.0625,0.0,0.0,50
track_a_fra_swa_linspr_txt_001255,track_a_fra_swa_linspr_txt_001385,fra,track_a,high,0.08333333333333333,0.0,0.0,50
track_a_fra_swa_linspr_txt_001543,track_a_fra_swa_linspr_txt_001260,fra,track_a,high,0.14285714285714285,0.0,0.0,50
track_a_fra_swa_linspr_txt_001212,track_a_fra_swa_linspr_txt_000481,fra,track_a,high,0.1,0.0,0.0,50
track_a_fra_swa_linspr_txt_000163,track_a_fra_swa_linspr_txt_000062,fra,track_a,high,0.5,0.0,0.6309297535714575,50
track_a_fra_swa_linspr_txt_000810,track_a_fra_swa_linspr_txt_001334,fra,track_a,high,0.5,0.0,0.6309297535714575,50
track_a_fra_swa_linspr_txt_002530,track_a_fra_swa_linspr_txt_001472,fra,track_a,high,0.14285714285714285,0.0,0.0,50
track_b_fra_lin_swaspr_txt_000084,track_a_fra_swa_linspr_txt_000084,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_001542,track_a_fra_swa_linspr_txt_001542,fra,track_a,medium,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_000140,track_a_fra_swa_linspr_txt_001357,fra,track_a,high,0.5,0.0,0.6309297535714575,50
track_a_fra_swa_linspr_txt_002858,track_a_fra_swa_linspr_txt_001552,fra,track_a,high,0.07692307692307693,0.0,0.0,50
track_b_fra_lin_swaspr_txt_000726,track_a_fra_swa_linspr_txt_000726,fra,track_a,medium,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_000595,track_a_fra_swa_linspr_txt_001992,fra,track_a,medium,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_003731,track_a_fra_swa_linspr_txt_003541,fra,track_a,high,0.25,0.0,0.43067655807339306,50
track_a_fra_swa_linspr_txt_002648,track_a_fra_swa_linspr_txt_002049,fra,track_a,high,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_003996,track_a_fra_swa_linspr_txt_000231,fra,track_a,high,0.09090909090909091,0.0,0.0,50
track_b_fra_lin_swaspr_txt_002516,track_a_fra_swa_linspr_txt_002516,fra,track_a,high,0.5,0.0,0.6309297535714575,50
track_a_fra_swa_linspr_txt_002820,track_a_fra_swa_linspr_txt_001334,fra,track_a,high,0.1111111111111111,0.0,0.0,50
track_a_fra_swa_linspr_txt_001632,track_a_fra_swa_linspr_txt_001295,fra,track_a,high,0.2,0.0,0.38685280723454163,50
track_a_fra_swa_linspr_txt_001062,track_a_fra_swa_linspr_txt_001092,fra,track_a,high,0.16666666666666666,0.0,0.0,50
track_a_fra_swa_linspr_txt_001059,track_a_fra_swa_linspr_txt_001921,fra,track_a,high,0.3333333333333333,0.0,0.5,50
track_a_fra_swa_linspr_txt_003041,track_a_fra_swa_linspr_txt_001364,fra,track_a,high,0.5,0.0,0.6309297535714575,50
track_b_fra_lin_swaspr_txt_001575,track_a_fra_swa_linspr_txt_001575,fra,track_a,medium,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_003319,track_a_fra_swa_linspr_txt_001274,fra,track_a,medium,0.09090909090909091,0.0,0.0,50
track_a_fra_swa_linspr_txt_002982,track_a_fra_swa_linspr_txt_000498,fra,track_a,high,0.2,0.0,0.38685280723454163,50
track_a_fra_swa_linspr_txt_003268,track_a_fra_swa_linspr_txt_001861,fra,track_a,medium,0.16666666666666666,0.0,0.0,50
track_b_fra_lin_swaspr_txt_002801,track_a_fra_swa_linspr_txt_002801,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_002803,track_a_fra_swa_linspr_txt_002803,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_000892,track_a_fra_swa_linspr_txt_000892,fra,track_a,medium,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_000682,track_a_fra_swa_linspr_txt_000682,fra,track_a,high,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_001371,track_a_fra_swa_linspr_txt_002364,fra,track_a,medium,0.05263157894736842,0.0,0.0,50
track_b_fra_lin_swaspr_txt_000231,track_a_fra_swa_linspr_txt_000231,fra,track_a,medium,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_002859,track_a_fra_swa_linspr_txt_001614,fra,track_a,medium,0.08333333333333333,0.0,0.0,50
track_b_fra_lin_swaspr_txt_000912,track_a_fra_swa_linspr_txt_000912,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_002793,track_a_fra_swa_linspr_txt_002793,fra,track_a,medium,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_001776,track_a_fra_swa_linspr_txt_001776,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_000953,track_a_fra_swa_linspr_txt_000953,fra,track_a,high,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_003688,track_a_fra_swa_linspr_txt_001632,fra,track_a,high,0.07142857142857142,0.0,0.0,50
track_b_fra_lin_swaspr_txt_000670,track_a_fra_swa_linspr_txt_000670,fra,track_a,high,0.09090909090909091,0.0,0.0,50
track_a_fra_swa_linspr_txt_001807,track_a_fra_swa_linspr_txt_002014,fra,track_a,medium,0.08333333333333333,0.0,0.0,50
track_a_fra_swa_linspr_txt_003760,track_a_fra_swa_linspr_txt_000586,fra,track_a,high,0.1,0.0,0.0,50
track_b_fra_lin_swaspr_txt_002581,track_a_fra_swa_linspr_txt_002581,fra,track_a,medium,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_003724,track_a_fra_swa_linspr_txt_003724,fra,track_a,medium,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_001689,track_a_fra_swa_linspr_txt_001775,fra,track_a,high,0.2,0.0,0.38685280723454163,50
track_a_fra_swa_linspr_txt_003219,track_a_fra_swa_linspr_txt_002014,fra,track_a,medium,0.07692307692307693,0.0,0.0,50
track_a_fra_swa_linspr_txt_000256,track_a_fra_swa_linspr_txt_000327,fra,track_a,high,0.1111111111111111,0.0,0.0,50
track_a_fra_swa_linspr_txt_003931,track_a_fra_swa_linspr_txt_001472,fra,track_a,medium,0.1,0.0,0.0,50
track_b_fra_lin_swaspr_txt_000050,track_a_fra_swa_linspr_txt_000050,fra,track_a,high,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_002070,track_a_fra_swa_linspr_txt_002690,fra,track_a,high,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_001966,track_a_fra_swa_linspr_txt_002364,fra,track_a,medium,0.09090909090909091,0.0,0.0,50
track_a_fra_swa_linspr_txt_002411,track_a_fra_swa_linspr_txt_001260,fra,track_a,high,0.09090909090909091,0.0,0.0,50
track_a_fra_swa_linspr_txt_002133,track_a_fra_swa_linspr_txt_003938,fra,track_a,medium,0.16666666666666666,0.0,0.0,50
track_b_fra_lin_swaspr_txt_002747,track_a_fra_swa_linspr_txt_002747,fra,track_a,medium,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_003475,track_a_fra_swa_linspr_txt_003475,fra,track_a,medium,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_003617,track_a_fra_swa_linspr_txt_003617,fra,track_a,high,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_002170,track_a_fra_swa_linspr_txt_001249,fra,track_a,high,0.06666666666666667,0.0,0.0,50
track_b_fra_lin_swaspr_txt_003283,track_a_fra_swa_linspr_txt_003283,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_003270,track_a_fra_swa_linspr_txt_003270,fra,track_a,medium,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_002295,track_a_fra_swa_linspr_txt_000327,fra,track_a,high,0.3333333333333333,0.0,0.5,50
track_a_fra_swa_linspr_txt_000356,track_a_fra_swa_linspr_txt_001698,fra,track_a,high,0.043478260869565216,0.0,0.0,50
track_b_fra_lin_swaspr_txt_002632,track_a_fra_swa_linspr_txt_002632,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_000764,track_a_fra_swa_linspr_txt_000764,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_000041,track_a_fra_swa_linspr_txt_000041,fra,track_a,high,0.3333333333333333,0.0,0.5,50
track_b_fra_lin_swaspr_txt_002474,track_a_fra_swa_linspr_txt_002474,fra,track_a,high,0.5,0.0,0.6309297535714575,50
track_b_fra_lin_swaspr_txt_001807,track_a_fra_swa_linspr_txt_001807,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_002174,track_a_fra_swa_linspr_txt_002174,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_000069,track_a_fra_swa_linspr_txt_000069,fra,track_a,high,0.07692307692307693,0.0,0.0,50
track_a_fra_swa_linspr_txt_002405,track_a_fra_swa_linspr_txt_001463,fra,track_a,medium,0.07692307692307693,0.0,0.0,50
track_a_fra_swa_linspr_txt_001270,track_a_fra_swa_linspr_txt_001338,fra,track_a,high,0.25,0.0,0.43067655807339306,50
track_a_fra_swa_linspr_txt_003595,track_a_fra_swa_linspr_txt_002024,fra,track_a,high,0.058823529411764705,0.0,0.0,50
track_a_fra_swa_linspr_txt_001573,track_a_fra_swa_linspr_txt_001270,fra,track_a,high,0.3333333333333333,0.0,0.5,50
track_a_fra_swa_linspr_txt_003282,track_a_fra_swa_linspr_txt_001745,fra,track_a,high,0.3333333333333333,0.0,0.5,50
track_b_fra_lin_swaspr_txt_001367,track_a_fra_swa_linspr_txt_001367,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_003931,track_a_fra_swa_linspr_txt_003931,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_000168,track_a_fra_swa_linspr_txt_000168,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_000277,track_a_fra_swa_linspr_txt_000277,fra,track_a,high,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_001295,track_a_fra_swa_linspr_txt_001632,fra,track_a,medium,0.2,0.0,0.38685280723454163,50
track_b_fra_lin_swaspr_txt_001548,track_a_fra_swa_linspr_txt_001548,fra,track_a,medium,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_001400,track_a_fra_swa_linspr_txt_001400,fra,track_a,medium,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_003543,track_a_fra_swa_linspr_txt_002364,fra,track_a,medium,0.1,0.0,0.0,50
track_a_fra_swa_linspr_txt_000399,track_a_fra_swa_linspr_txt_000069,fra,track_a,high,0.25,0.0,0.43067655807339306,50
track_b_fra_lin_swaspr_txt_001573,track_a_fra_swa_linspr_txt_001573,fra,track_a,high,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_003770,track_a_fra_swa_linspr_txt_001698,fra,track_a,high,0.0625,0.0,0.0,50
track_b_fra_lin_swaspr_txt_003899,track_a_fra_swa_linspr_txt_003899,fra,track_a,high,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_002503,track_a_fra_swa_linspr_txt_001686,fra,track_a,high,0.2,0.0,0.38685280723454163,50
track_a_fra_swa_linspr_txt_001775,track_a_fra_swa_linspr_txt_001632,fra,track_a,high,0.1,0.0,0.0,50
track_b_fra_lin_swaspr_txt_000452,track_a_fra_swa_linspr_txt_000452,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_002128,track_a_fra_swa_linspr_txt_002128,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_003550,track_a_fra_swa_linspr_txt_003550,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_003665,track_a_fra_swa_linspr_txt_003665,fra,track_a,high,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_001845,track_a_fra_swa_linspr_txt_001334,fra,track_a,medium,0.5,0.0,0.6309297535714575,50
track_b_fra_lin_swaspr_txt_003507,track_a_fra_swa_linspr_txt_003507,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_002175,track_a_fra_swa_linspr_txt_002175,fra,track_a,medium,1.0,1.0,1.0,50
track_a_fra_swa_linspr_txt_001907,track_a_fra_swa_linspr_txt_001921,fra,track_a,high,0.5,0.0,0.6309297535714575,50
track_b_fra_lin_swaspr_txt_000544,track_a_fra_swa_linspr_txt_000544,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_001689,track_a_fra_swa_linspr_txt_001689,fra,track_a,high,1.0,1.0,1.0,50
track_b_fra_lin_swaspr_txt_000481,track_a_fra_swa_linspr_txt_000481,fra,track_a,high,1.0,1.0,1.0,50
